fecha,año,mes,dia,nombre_mes,nombre_dia_semana,trimestre,semana_del_año,es_evento
2018-01-01,2018,1,1,January,Monday,1,1,0
2018-01-02,2018,1,2,January,Tuesday,1,1,0
2018-01-03,2018,1,3,January,Wednesday,1,1,0
2018-01-04,2018,1,4,January,Thursday,1,1,0
2018-01-05,2018,1,5,January,Friday,1,1,0
2018-01-06,2018,1,6,January,Saturday,1,1,0
2018-01-07,2018,1,7,January,Sunday,1,1,0
2018-01-08,2018,1,8,January,Monday,1,2,0
2018-01-09,2018,1,9,January,Tuesday,1,2,0
2018-01-10,2018,1,10,January,Wednesday,1,2,0
2018-01-11,2018,1,11,January,Thursday,1,2,0
2018-01-12,2018,1,12,January,Friday,1,2,0
2018-01-13,2018,1,13,January,Saturday,1,2,0
2018-01-14,2018,1,14,January,Sunday,1,2,0
2018-01-15,2018,1,15,January,Monday,1,3,0
2018-01-16,2018,1,16,January,Tuesday,1,3,0
2018-01-17,2018,1,17,January,Wednesday,1,3,0
2018-01-18,2018,1,18,January,Thursday,1,3,0
2018-01-19,2018,1,19,January,Friday,1,3,0
2018-01-20,2018,1,20,January,Saturday,1,3,0
2018-01-21,2018,1,21,January,Sunday,1,3,0
2018-01-22,2018,1,22,January,Monday,1,4,0
2018-01-23,2018,1,23,January,Tuesday,1,4,0
2018-01-24,2018,1,24,January,Wednesday,1,4,0
2018-01-25,2018,1,25,January,Thursday,1,4,0
2018-01-26,2018,1,26,January,Friday,1,4,0
2018-01-27,2018,1,27,January,Saturday,1,4,0
2018-01-28,2018,1,28,January,Sunday,1,4,0
2018-01-29,2018,1,29,January,Monday,1,5,0
2018-01-30,2018,1,30,January,Tuesday,1,5,0
2018-01-31,2018,1,31,January,Wednesday,1,5,0
2018-02-01,2018,2,1,February,Thursday,1,5,0
2018-02-02,2018,2,2,February,Friday,1,5,0
2018-02-03,2018,2,3,February,Saturday,1,5,0
2018-02-04,2018,2,4,February,Sunday,1,5,0
2018-02-05,2018,2,5,February,Monday,1,6,0
2018-02-06,2018,2,6,February,Tuesday,1,6,0
2018-02-07,2018,2,7,February,Wednesday,1,6,0
2018-02-08,2018,2,8,February,Thursday,1,6,0
2018-02-09,2018,2,9,February,Friday,1,6,0
2018-02-10,2018,2,10,February,Saturday,1,6,0
2018-02-11,2018,2,11,February,Sunday,1,6,0
2018-02-12,2018,2,12,February,Monday,1,7,0
2018-02-13,2018,2,13,February,Tuesday,1,7,0
2018-02-14,2018,2,14,February,Wednesday,1,7,0
2018-02-15,2018,2,15,February,Thursday,1,7,0
2018-02-16,2018,2,16,February,Friday,1,7,0
2018-02-17,2018,2,17,February,Saturday,1,7,0
2018-02-18,2018,2,18,February,Sunday,1,7,0
2018-02-19,2018,2,19,February,Monday,1,8,0
2018-02-20,2018,2,20,February,Tuesday,1,8,0
2018-02-21,2018,2,21,February,Wednesday,1,8,0
2018-02-22,2018,2,22,February,Thursday,1,8,0
2018-02-23,2018,2,23,February,Friday,1,8,0
2018-02-24,2018,2,24,February,Saturday,1,8,0
2018-02-25,2018,2,25,February,Sunday,1,8,0
2018-02-26,2018,2,26,February,Monday,1,9,0
2018-02-27,2018,2,27,February,Tuesday,1,9,0
2018-02-28,2018,2,28,February,Wednesday,1,9,0
2018-03-01,2018,3,1,March,Thursday,1,9,0
2018-03-02,2018,3,2,March,Friday,1,9,0
2018-03-03,2018,3,3,March,Saturday,1,9,0
2018-03-04,2018,3,4,March,Sunday,1,9,0
2018-03-05,2018,3,5,March,Monday,1,10,0
2018-03-06,2018,3,6,March,Tuesday,1,10,0
2018-03-07,2018,3,7,March,Wednesday,1,10,0
2018-03-08,2018,3,8,March,Thursday,1,10,0
2018-03-09,2018,3,9,March,Friday,1,10,0
2018-03-10,2018,3,10,March,Saturday,1,10,0
2018-03-11,2018,3,11,March,Sunday,1,10,0
2018-03-12,2018,3,12,March,Monday,1,11,0
2018-03-13,2018,3,13,March,Tuesday,1,11,0
2018-03-14,2018,3,14,March,Wednesday,1,11,0
2018-03-15,2018,3,15,March,Thursday,1,11,0
2018-03-16,2018,3,16,March,Friday,1,11,0
2018-03-17,2018,3,17,March,Saturday,1,11,0
2018-03-18,2018,3,18,March,Sunday,1,11,0
2018-03-19,2018,3,19,March,Monday,1,12,0
2018-03-20,2018,3,20,March,Tuesday,1,12,0
2018-03-21,2018,3,21,March,Wednesday,1,12,0
2018-03-22,2018,3,22,March,Thursday,1,12,0
2018-03-23,2018,3,23,March,Friday,1,12,0
2018-03-24,2018,3,24,March,Saturday,1,12,0
2018-03-25,2018,3,25,March,Sunday,1,12,0
2018-03-26,2018,3,26,March,Monday,1,13,0
2018-03-27,2018,3,27,March,Tuesday,1,13,0
2018-03-28,2018,3,28,March,Wednesday,1,13,0
2018-03-29,2018,3,29,March,Thursday,1,13,0
2018-03-30,2018,3,30,March,Friday,1,13,0
2018-03-31,2018,3,31,March,Saturday,1,13,0
2018-04-01,2018,4,1,April,Sunday,2,13,0
2018-04-02,2018,4,2,April,Monday,2,14,0
2018-04-03,2018,4,3,April,Tuesday,2,14,0
2018-04-04,2018,4,4,April,Wednesday,2,14,0
2018-04-05,2018,4,5,April,Thursday,2,14,0
2018-04-06,2018,4,6,April,Friday,2,14,0
2018-04-07,2018,4,7,April,Saturday,2,14,0
2018-04-08,2018,4,8,April,Sunday,2,14,0
2018-04-09,2018,4,9,April,Monday,2,15,0
2018-04-10,2018,4,10,April,Tuesday,2,15,0
2018-04-11,2018,4,11,April,Wednesday,2,15,0
2018-04-12,2018,4,12,April,Thursday,2,15,0
2018-04-13,2018,4,13,April,Friday,2,15,0
2018-04-14,2018,4,14,April,Saturday,2,15,0
2018-04-15,2018,4,15,April,Sunday,2,15,0
2018-04-16,2018,4,16,April,Monday,2,16,0
2018-04-17,2018,4,17,April,Tuesday,2,16,0
2018-04-18,2018,4,18,April,Wednesday,2,16,0
2018-04-19,2018,4,19,April,Thursday,2,16,0
2018-04-20,2018,4,20,April,Friday,2,16,0
2018-04-21,2018,4,21,April,Saturday,2,16,0
2018-04-22,2018,4,22,April,Sunday,2,16,0
2018-04-23,2018,4,23,April,Monday,2,17,0
2018-04-24,2018,4,24,April,Tuesday,2,17,0
2018-04-25,2018,4,25,April,Wednesday,2,17,0
2018-04-26,2018,4,26,April,Thursday,2,17,0
2018-04-27,2018,4,27,April,Friday,2,17,0
2018-04-28,2018,4,28,April,Saturday,2,17,0
2018-04-29,2018,4,29,April,Sunday,2,17,0
2018-04-30,2018,4,30,April,Monday,2,18,0
2018-05-01,2018,5,1,May,Tuesday,2,18,0
