sucursal_id,nombre_sucursal,direccion_sucursal,provincia_sucursal
1,Sucursal 1,"Calle Santa Cruz N° 4510 Local 7, Paraná 3100, Entre Ríos",Chaco
2,Sucursal 2,"Av. Santa Rosa N° 9560 Torre 2 Dto. 1, Viedma 8500, Río Negro",Bunoes Aires
3,Sucursal 3,"Calle Corrientes N° 462 Dto. 8, Comodoro Rivadavia 9000, Chubut",Cordoba
4,Sucursal 4,"Calle Güemes N° 4495, San Luis 5700, San Luis",Santa Fe 
5,Sucursal 5,"Calle 1 N° 1118 Oficina 55, Río Gallegos 9400, Santa Cruz",
6,Sucursal 6,"Calle Salta N° 13 Torre 2 Dto. 8, Posadas 3300, Misiones",Río Negro
7,Sucursal 7,"Avenida 1 N° 85, Mendoza 5500, Mendoza",Chaco
8,Sucursal 8,"Blv. La Rioja N° 665 Oficina 53, Neuquén 8300, Neuquén",Salta
9,Sucursal 9,"Av. San Miguel de Tucumán N° 272 Dto. 9, Merlo 5881, San Luis",Buenos Aires
10,Sucursal 10,"Avenida Salta N° 2079 Local 2, Formosa 3600, Formosa",Río Negro
11,Sucursal 11,"Av. Corrientes N° 6473 Torre 9 Dto. 7, Neuquén 8300, Neuquén",Santa Fe
12,Sucursal 12,"Avenida 8 N° 904 Dto. 1, Formosa 3600, Formosa",Buenos Aires
13,Sucursal 13,"Calle 5 N° 752, Mar del Plata 7600, Buenos Aires",Chaco
14,Sucursal 14,"Calle 9 N° 812, Córdoba 5000, Córdoba",Río Negro
15,Sucursal 15,"Av. Posadas N° 435, Viedma 8500, Río Negro",Río Negro
16,Sucursal 16,"Diagonal Güemes N° 47, San Ferando del Valle de Catamarca 4700, Catamarca",Misiones
17,Sucursal 17,"Avenida Güemes N° 608, Córdoba 5000, Córdoba",Santa Fe
18,Sucursal 18,"Blv. San Luis N° 298, Corrientes 3400, Corrientes",Misiones
19,Sucursal 19,"Diag. Güemes N° 250 Dto. 3, Formosa 3600, Formosa",Santa Fe
20,Sucursal 20,"Calle G. Brown N° 606, Santa Rosa 6300, La Pampa",Córdoba
21,Sucursal 21,"Calle La Pampa N° 4587, Bahía Blanca 8000, Buenos Aires",Mendoza
22,Sucursal 22,"Av. 6 N° 81, Corrientes 3400, Corrientes",Salta
23,Sucursal 23,"Av. 7 N° 6067 Dto. 7, Neuquén 8300, Neuquén",Santa Fe
24,Sucursal 24,"Avenida Ushuaia N° 855, Mar del Plata 7600, Buenos Aires",Misiones
25,Sucursal 25,"Diag. 6 N° 358 Oficina 67, Posadas 3300, Misiones",Río Negro
1,Sucursal 1,"Calle Santa Cruz N° 4510 Local 7, Paraná 3100, Entre Ríos",Chaco
